职校	職校	zhi2xiao4	vocational school
毅力	毅力	yi4li4	willpower; perseverance; will; stamina; tenacity
克服	克服	ke4fu2	overcome; conquer
语言翻译机	語言翻譯機	yu3yan2fan1yi4ji1	Electronic Language translating device 
种种	種種	zhong3zhong3	all kinds of
瞬间	瞬間	shun4jian1	in the blink of an eye; in an instant; momentary
加诸	加諸	jia1zhu1	add to
冲昏头	沖昏頭	chong1hun1tou2	become carried away
赠与	贈與	zeng4yu3	(formal) give as a present; donate to; bequeath
抵达	抵達	di3da2	arrive; to reach (a destination)
冒雨	冒雨	mao4yu3	to brave the rain; in spite of the rain
迎接	迎接	ying2jie1	meet; greet; to welcome
首次	首次	shou3ci4	first time
见客	見客	jian4ke4	to meet with guests, to see visitors
达	達	da2	to reach; attain; inform; prominent; until
人次	人次	ren2ci4	person-time; head count; classifier for number of people participating
当局	當局	dang1ju2	authorities
宣告	宣告	xuan1gao4	to declare; to proclaim; to pronounce
期间	期間	qi1jian1	period of time; time; during
为期	為期	wei2qi1	be scheduled for; last for (a certain duration)
巡展	巡展	xun2zhan3	exhibition tour
租金	租金	zu1jin1	rent; rental fee
有利可图	有利可圖	you3li4ke3tu2	profitable
波	波	bo1	wave; surge; unexpected turn of events
拉锯	拉鋸	la1ju4	a two-man saw; fig. to-and-fro between two sides
可观	可觀	ke3guan1	worth seeing; considerable; impressive; sizable; significant
收益	收益	shou1yi4	earnings; profit
林业	林業	lin2ye4	forestry; forest industry
捕捉	捕捉	bu3zhuo1	catch; seize
野生	野生	ye3sheng1	wild; undomesticated; uncultivated
呼吁	呼籲	hu1yu4	call on (sb. to do sth.); appeal
保育	保育	bao3yu4	childcare; child welfare; conservation (of environment, etc.)
设立	設立	she4li4	set up; establish
进展	進展	jin4zhan3	make progress; development; make headway
近亲	近親	jin4qin1	close relative
野外	野外	ye3wai4	open country; undeveloped areas outside the city; wilderness
近年	近年	jin4nian2	in the last year; recent year(s)
圈养	圈養	juan4yang3	farm-raised
野放	野放	ye3fang4	to release into the wild
就算	就算	jiu4suan4	granted that ...; even if ...
尼克森	尼克森	Ni2ke4sen1	Richard M. Nixon (1913-1994), US president
北京	北京	Bei3jing1	Beijing
周恩来	周恩來	Zhou1 En1lai2	img:http://www.internationalwoodsuppliers.com/SkritterImages/RecentHistory/zhouenlai.jpg (1898 - 1976)  first Premier of the PRC. Zhou was instrumental in consolidating the control of the Communist Party's rise to power, he is best known as the long-time top aide to Mao Zedong, specializing in foreign policy. Due to his expertise, Zhou was largely able to survive the purges of other top officials during the Cultural Revolution.
玲玲	玲玲	ling2ling2	(sound of tinkling); Ling Ling (a personal name)
兴兴	興興	xing1xing1	Name of a panda Xing Xing
华盛顿	華盛頓	Hua2sheng4dun4	Washington
港澳	港澳	gang3'ao4	Hong Kong and Macao
洛杉矶	洛杉磯	Luo4shan1ji1	Los Angeles
奥运会	奧運會	Ao4yun4hui4	Olympics
永永	永永	yong3yong3	Yong Yong (name of a panda)
迎新	迎新	ying2xin1	see in the New Year in; welcome new guests/ arrivals
旧金山	舊金山	Jiu4jin1shan1	San Francisco
美国联邦渔业和野生动物管理局	美國聯邦漁業和野生動物管理局	mei3guo2lian2bang1yu2ye4he2ye3sheng1dong4wu4guan3li3ju2	FWS: United States Fish and Wildlife Service
四川卧龙自然保护区	四川臥龍自然保護區	si4chuan1wo4long2zi4ran2bao3hu4qu1	Sichuan Wolong National Nature Reserve
自我	自我	zi4wo3	self; oneself; ego
膨胀	膨脹	peng2zhang4	inflate; expand
面貌	面貌	mian4mao4	face; features; appearance (of things); look; aspect
醒悟	醒悟	xing3wu4	wake up to reality; come to realize the truth
项目	項目	xiang4mu4	item; project; (sports) event
盛会	盛會	sheng4hui4	pageant; distinguished meeting
无不	無不	wu2bu4	none lacking; none missing; everything is there; everyone without exception
赞助	贊助	zan4zhu4	to support; to sponsor; assistance
宣称	宣稱	xuan1cheng1	assert; claim
庞大	龐大	pang2da4	enormous; huge; tremendous
蓬勃	蓬勃	peng2bo2	vigorous; flourishing; full of vitality
绚丽	絢麗	xuan4li4	gorgeous; magnificent; riotous
绽放	綻放	zhan4fang4	to blossom; to burst into bloom
前车之鉴	前車之鑒	qian2che1zhi1jian4	learn from mistakes
财务	財務	cai2wu4	financial affairs
兴建	興建	xing1jian4	to build; to construct
运动场馆	運動場館	yun4dong4chang3guan3	stadium, venue for sports
周遭	周遭	zhou1zao1	surrounding area; nearby; local
更新	更新	geng1xin1	replace; renew; renovate; to upgrade; to update; to regenerate; to rejuvenate
筹措	籌措	chou2cuo4	raise money
还清	還清	huan2qing1	pay off (a debt)
施工	施工	shi1 gong1	to construct; construction; to build
塔柱	塔柱	ta3zhu4	pylon, tower
花费	花費	hua1fei4	expense; cost; spend (time or money)
预估	預估	yu4gu1	estimate; forecast; prediction; projection
一路	一路	yi2lu4	a way; all the way; of the same kind
人士	人士	ren2shi4	person; public figure
足足	足足	zu2zu2	fully; no less than; as much as
参与	參與	can1yu4	participate in
有余	有餘	you3yu2	have enough and to spare
超支	超支	chao1zhi1	to overspend
专属	專屬	zhuan1shu3	exclusive
必	必	bi4	certainly; must; necessarily; will
巨额	巨額	ju4'e2	huge amount (of money)
足以	足以	zu2yi3	sufficient to ...; so much so that; sufficiently
回本	回本	hui2ben3	to recover one's initial costs
最终	最終	zui4zhong1	in the long run; final; ultimate
买单	買單	mai3dan1	to pay the restaurant bill
雅典	雅典	Ya3dian3	Athens (capital of Greece)
奥林匹克运动会	奧林匹克運動會	Ao4lin2pi3ke4 Yun4dong4hui4	Olympic Games
世界盃足球赛	世界盃足球賽	shi4jie4bei1zu2qiu2sai4	the FIFA World Cup
蒙特娄	蒙特婁	Meng2te4lou2	Montreal
美金	美金	mei3jin1	US dollar ($)
英镑	英鎊	ying1bang4	British pound sterling
亏钱	虧錢	kui1qian2	to lose money
亏本	虧本	kui1ben3	lose money (in business); lose one's capital; in the red; make a loss
收场	收場	shou1chang3	to end; wind down; ending
冷战	冷戰	leng3zhan4	cold war; strained relationship; be barely on speaking terms; shiver (from cold, fear); shudder
氛围	氛圍	fen1wei2	atmosphere; ambience
突然之间	突然之間	tu2ran2zhi1jian1	a sudden interruption 
烫手山芋	燙手山芋	tang4shou3shan1yu4	hot potato; problem; trouble; headache
唯二	唯二	wei2'er4	only two
决选出	決選出	jue2xuan3chu1	to have finalized on the selection of
意味	意味	yi4wei4	meaning; implication
体会	體會	ti3hui4	know from experience; realize; understanding; experience
苦涩	苦澀	ku3se4	bitter and astringent; pained; agonized; anguished
情敌	情敵	qing2di2	rival in love
我行我素	我行我素	wo3xing2wo3su4	persist whatever others say; do things one's own way
未婚	未婚	wei4hun1	single; unmarried
立志	立志	li4zhi4	be resolved; be determined
志向	志向	zhi4xiang4	ambition; goal; aspiration
减肥	減肥	jian3fei2	go on a diet; lose weight
撑	撐	cheng1	to support; prop up; push or move with a pole; maintain; to open; fill to the bursting point
定下来	定下來	ding4xia5lai5	to settle down; to fix; to clarify (a relationship)
残酷	殘酷	can2ku4	cruel; brutal; ruthless
当下	當下	dang1xia4	presently; immediately, at once
重来	重來	chong2lai2	do something again
鬼东西	鬼東西	gui3dong1xi1	mysterious/ghost/spirit like thing
俊男美女	俊男美女	jun4nan2mei3nv3	handsome man and beautiful girl; attractive men & women
欢喜	歡喜	huan1xi3	joyful; happy
悲伤	悲傷	bei1shang1	sad; sorrowful
激发出来	激發出來	ji1fa1chu1lai2	stimulate,arouse, set off
发福	發福	fa1fu2	gain weight; prosper
干嘛	幹嘛	gan4ma2	what are you doing?; whatever for?; why on earth?
无趣	無趣	wu2qu4	uninteresting; dull; vapid; colorless
斟酌	斟酌	zhen1zhuo2	consider; deliberate; fill a cup to the brim
何时	何時	he2shi2	when (written expression)
闪人	閃人	shan3ren2	leave; runaway
尴尬	尷尬	gan1ga4	awkward; embarrassed
忠于	忠於	zhong1yu2	loyal to; stick by
萎缩	萎縮	wei3suo1	to wither; dry up; to atrophy
当头棒喝	當頭棒喝	dang1tou2bang4he4	sharp/timely warning
自以为是	自以為是	zi4yi3wei2shi4	regard oneself as infallible; self-opinionated
破绽	破綻	po4zhan4	hole or tear in cloth; mistake or gap in a speech or theory (idiom)
德行	德行	de2xing5	conduct; morality
勇敢	勇敢	yong3gan3	brave; courageous
私生子	私生子	si1sheng1zi3	illegitimate/love child; a child born out of wedlock
纵使	縱使	zong4shi3	although; even if
自诩	自詡	zi4xu3	brag; praise oneself
开明	開明	kai1ming2	enlightened; open-minded
知识分子	知識分子	zhi1shi5 fen4zi3	intellectual; the intelligentsia
留洋	留洋	liu2yang2	to study abroad (old term) / same as 留學|留学
老夫子	老夫子	lao3fu1zi5	a bookish man
提早	提早	ti2zao3	ahead of schedule; be earlier than expected
温和	溫和	wen1he2	moderate; warm
干架	幹架	gan4jia4	fight
逼出	逼出	bi1chu1	force out; expulsion
苦	苦	ku3	bitter; hardship; suffering; pain; cause sb. suffering; suffer from; painstakingly
邪恶	邪惡	xie2'e4	evil; malicious
发挥	發揮	fa1hui1	to display; to bring (skill, talent, etc.) into play; to develop (an idea)
极致	極致	ji2zhi4	peak; pinnacle; the height (of sth. abstract, indicating the highest degree of it)
晚婚	晚婚	wan3hun1	late marriage
直到	直到	zhi2dao4	until; up to
心仪	心儀	xin1yi2	to respectfully admire
来日	來日	lai2ri4	the next day (literary); future days
认定	認定	ren4ding4	maintain (that sth. is true); firmly believe; decided
型态	型態	xing2tai4	Model;type
彷彿	彷彿	fang3fu2	to seem; as if; alike; similar
旅程	旅程	lv3cheng2	route; travel itinerary; journey; trip
前移	前移	qian2yi2	to move (forward), to shift
迈进	邁進	mai4jin4	stride forward
不巧	不巧	bu4qiao3	unfortunately
派驻	派駐	pai4zhu4	be posted (as ambassador etc)
流转	流轉	liu2zhuan3	to roam; wander; circulate goods or capital
之类	之類	zhi1lei4	and so on; and such
度假	度假	du4jia4	go on vacation
居所	居所	ju1suo3	residence
恒常不变	恆常不變	heng2chang2bu4bian4	constant/constantly 
地址	地址	di4zhi3	address
养老	養老	yang3lao3	provision for the elderly; live out one's life in retirement
愕然	愕然	e4ran2	stunned; astounded; amazed
惊醒	驚醒	jing1xing3	to startle awake
已然	已然	yi3ran2	already so; have already become a fact
失根	失根	shi1gen1	rootless
理所当然	理所當然	li3 suo3 dang1 ran2	(idiom) it goes without saying; certainly; of course; be natural and right
依旧	依舊	yi1jiu4	as before; still
碧绿	碧綠	bi4lv4	dark green
宁静	寧靜	ning2jing4	tranquil; tranquility; peaceful
住所	住所	zhu4suo3	habitation; residence
落地窗	落地窗	luo4di4chuang1	French window; (literally) a window that touches the ground
望见	望見	wang4jian4	see (far away)
星空	星空	xing1kong1	a starry sky
后院	後院	hou4yuan4	backyard; rear court; back garden
树	樹	shu4	tree
松鼠	松鼠	song1shu3	squirrel
麻雀	麻雀	ma2que4	sparrow; mahjong
嬉戏	嬉戲	xi1xi4	play; frolic; romp
具体	具體	ju4ti3	concrete; definite; specific
基隆	基隆	Ji1long2	Keelung, a port city in northern Taiwan
亚历山大	亞曆山大	ya4li4shan1da4	Alexander (name); Alexandria (town)
地道	地道	di4dao5	authentic; genuine
华裔	華裔	Hua2yi4	foreign person of Chinese origin; non-Chinese citizen of Chinese ancestry; ethnic Chinese
混血	混血	hun4xue4	mixed (blood, race); hybrid
系	系	xi4	system; connect; arrest; department;; tie; fasten; button up
诸多	諸多	zhu1duo1	a good deal of; large numbers of
国度	國度	guo2du4	country; state; nation
身世	身世	shen1shi4	life experience
多重	多重	duo1chong2	(mathematics) multiple; (prefix) multi- (faceted, cultural, ethnic etc)
追究	追究	zhui1jiu1	investigate; look into; find out
纯粹	純粹	chun2cui4	purely; pure
公民	公民	gong1min2	citizen
属意	屬意	zhu3yi4	(written) fix on somebody (as one's choice)
景致	景致	jing3zhi4	view; scenery; scene
门牌	門牌	men2pai2	doorplate; house number
接下	接下	jie1xia4	continue on; continuing on with
为人称道	為人稱道	wei2ren2cheng1dao4	praise good behaviour 
经由	經由	jing1you2	via; by way of
招商	招商	zhao1shang1	to seek investment or funding; to invite outside investment
盈余	盈餘	ying2yu2	surplus; profit
开幕	開幕	kai1mu4	to open (an event); inaugurate
闭幕	閉幕	bi4mu4	the curtain falls; to close; conclude
典礼	典禮	dian3li3	celebration; ceremony
损益平衡	損益平衡	sun3yi4ping2heng2	keep the profits and gains in balance 
支撑	支撐	zhi1cheng1	support; prop up; crutch; brace
后续	後續	hou4xu4	following; follow-up
总共	總共	zong3gong4	altogether; in sum; in all; in total
基数	基數	ji1shu4	base (math)
再者	再者	zai4zhe3	moreover / besides
人潮	人潮	ren2chao2	stream of people; crowd
短期	短期	duan3qi1	short-term
蚊子馆	蚊子館	wen2zi5guan3	empty/useless building
剂	劑	ji4	dose; medicinal preparation; agent
陷入	陷入	xian4ru4	sink into; get caught up in; land in (a predicament)
景象	景象	jing3xiang4	scene; sight (to behold)
四年一度	四年一度	si4nian2yi2du4	once every four years 
无福消受	無福消受	wu2fu2xiao1shou4	unfortunately cannot enjoy (idiom)
有福消受	有福消受	you3fu2xiao1shou4	be fortunate enough to enjoy
巨像	巨像	ju4xiang4	immense image
狠狠	狠狠	hen3hen3	ferociously
奥林匹克委员会	奧林匹克委員會	ao4lin2pi3ke4wei3yuan2hui4	Olympic Committee
乡关何处	鄉關何處	xiang1guan1he2chu4	Out of Place (Book)
开启	開啟	kai1qi3	open; unseal
浪游	浪游	lang4you2	wandering, roaming
泰半	泰半	tai4ban4	most, the majority
迁移	遷移	qian1yi2	migrate; transfer
变换	變換	bian4huan4	transform; alternate; convert
安身	安身	an1shen1	take shelter; have a roof over one's head
念头	念頭	nian4tou5	thought; idea; intention
前提	前提	qian2ti2	premise; precondition
远行	遠行	yuan3xing2	a long journey; far from home
山洞	山洞	shan1dong4	cave
姑妈	姑媽	gu1ma1	paternal aunt; father's (married) sister
自助餐	自助餐	zi4zhu4can1	buffet
寄宿生	寄宿生	ji4su4sheng1	boarding student
烂漫	爛漫	lan4man4	bright colored; unaffected (i.e. behaving naturally); innocent
年岁	年歲	nian2sui4	age
乡愁	鄉愁	xiang1chou2	homesickness; nostalgia
他乡	他鄉	ta1xiang1	a place far away from home; an alien land
异地	異地	yi4di4	different location; abroad
脚步	腳步	jiao3bu4	footstep; step
算计	算計	suan4ji4	calculate; consider; to scheme; to plot
漂泊	漂泊	piao1bo2	adrift; wandering; drifter; wanderer; vagrancy
不时	不時	bu4shi2	from time to time; sometimes
居留	居留	ju1liu2	reside; establish residence in
表白	表白	biao3bai2	explain oneself; express feelings
使命	使命	shi3ming4	a (diplomatic or other) mission
动力	動力	dong4li4	power; motion; driving force; motivation
软弱	軟弱	ruan3ruo4	weak; feeble
顶多	頂多	ding3duo1	at (the) most
半生	半生	ban4sheng1	half a lifetime
加码	加碼	jia1ma3	to raise the price of commodities; to raise stakes (in gambling); to increase a position (e.g. in futures markets); to encode; mark-up
之间	之間	zhi1jian1	between; among
模式	模式	mo2shi4	model; pattern; method; mode
大脑	大腦	da4nao3	brain; cerebrum
一片空白	一片空白	yi2pian4kong4bai2	blank space
点点滴滴	點點滴滴	dian3dian3di1di1	bit by bit; dribs and drabs
细腻	細膩	xi4ni4	exquisite; minute; meticulous; delicate
细节	細節	xi4jie2	details; particulars
神经大条	神經大條	shen2jing1da4tiao2	thick-skinned; insensitive
察言观色	察言觀色	cha2yan2guan1se4	read people by watching closely their expressions; to examine words and moods for a clue as to sb's thoughts
说理	說理	shuo1li3	argue; reason things out; be reasonable
理性	理性	li3xing4	rational; reason; rationality
不由自主	不由自主	bu4you2zi4zhu3	can't help (doing something); involuntarily
惯性	慣性	guan4xing4	inertia
长篇大论	長篇大論	chang2pian1-da4lun4	tirade; long-winded speech
同理心	同理心	tong2li3xin1	empathy
即	即	ji2	to mean; namely; to reach; at present; even if
漫不经心	漫不經心	man4bu4jing1xin1	careless; casual; negligent
忘记	忘記	wang4ji4	forget
不守信用	不守信用	bu4shou3xin4yong4	unreliable; doesn't do what they say they'll do
说话不算话	說話不算話	shuo1hua4bu2suan4hua4	just say something; not be true to one's word
不幸	不幸	bu2xing4	misfortune; adversity; unfortunate
拐弯抹角	拐彎抹角	guai3wan1mo4jiao3	equivocate, beat around the bush, speak in a roundabout way
语病	語病	yu3bing4	faulty wording
字面	字面	zi4mian4	literal
争辩不休	爭辯不休	zheng1bian4bu4xiu1	argue/debate endlessly
背后	背後	bei4hou4	behind; at the back; in the rear
微妙	微妙	wei1miao4	subtle; delicate; tricky
亲身	親身	qin1shen1	personal; oneself; intimate; firsthand
共同点	共同點	gong4tong2dian3	common ground
黑洞	黑洞	hei1dong4	(astronomy) black hole
荣耀	榮耀	rong2yao4	honor; glory
国力	國力	guo2li4	a nation's power
债务	債務	zhai4wu4	debt
谨慎为之	謹慎為之	jin3shen4wei2zhi1	do something carefully/cautiously
主办	主辦	zhu3ban4	to host (a conference or sports event); organize
强心针	強心針	qiang2xin1zhen1	injection used to strengthen the functioning of the heart
国债	國債	guo2zhai4	national bond; government debt
历经	歷經	li4jing1	to experience; go through; have experienced
轮	輪	lun2	wheel; disk; to take turns; mw for matches and debates
脱颖而出	脫穎而出	tuo1ying3'er2chu1	talent will reveal itself; pale others by showing one's ability and talent
申奥	申奧	shen1'ao4	bid for holding the Olympic Games
宣传	宣傳	xuan1chuan2	propagate; give publicity to; propaganda
盛大	盛大	sheng4da4	grand; majestic; Shanda Entertainment (PRC video game company)
心爱	心愛	xin1'ai4	beloved; dear to one's heart
家当	家當	jia1dang4	family belongings; property
家用	家用	jia1yong4	home-use; domestic
安放	安放	an1fang4	put in a proper/safe place
平日	平日	ping2ri4	on ordinary days; ordinarily; usually
收集	收集	shou1ji2	gather; collect
画作	畫作	hua4zuo4	painting
窗台	窗臺	chuang1tai2	window sill
盆景	盆景	pen2jing3	potted landscape; bonsai
不离不弃	不離不棄	bu4li2bu2qi4	never leave each other
茶壶	茶壺	cha2hu2	teapot
热腾腾	熱騰騰	re4teng2teng2	steaming hot
菊花	菊花	ju2hua1	chrysanthemum
普洱	普洱	Pu3'er3	Pu'er, a prefecture level city in Yunnan; Pu'er, the county seat of Ning'er Hani and Yi Autonomous County
呷	呷	xia1	[dialect] sip; swallow; drink
安家	安家	an1jia1	to settle down; to set up a home; get married and start a family
比如	比如	bi3ru2	for example; for instance; such as
气候宜人	氣候宜人	qi4hou4yi2ren2	pleasant climate
城镇	城鎮	cheng2zhen4	cities and towns; city; town
所在	所在	suo3zai4	location; place; whereabouts
体贴	體貼	ti3tie1	show consideration for; thoughtful
破败	破敗	po4bai4	ruin; defeat (in battle); be in decline
懒惰	懶惰	lan3duo4	lazy; idle
幅	幅	fu2	width of cloth; size; (mw for pictures, paintings, textiles)
天长地久	天長地久	tian1 chang2 di4 jiu3	enduring as the universe; everlasting and unchanging
羁旅	羈旅	ji1lv3	to live abroad / to be traveling / traveler
驿站	驛站	yi4zhan4	relay station; stagehouse
行李	行李	xing2li5	luggage; baggage
洗涤	洗滌	xi3di2	wash; cleanse
风尘	風塵	feng1chen2	windblown dust; hardships of travel; prostitution
歇脚	歇腳	xie1jiao3	to rest one's feet
哥大建筑学系	哥大建築學系	ge1da4jian4zhu2xue2xi4	Columbia University Department of Architecture
广东	廣東	Guang3dong1	Guangdong Province (Canton)
普洱茶	普洱茶	pu3'er3cha2	Pu'er tea
修练	修練	xiu1lian4	practice an activity
记忆	記憶	ji4yi4	memory; to remember
诠释	詮釋	quan2shi4	interpret; comment and explain; annotate; decode
相辅相成	相輔相成	xiang1fu3xiang1cheng2	supplement or complement each other; have a symbiotic relationship
书中自有黄金屋	書中自有黃金屋	shu1zhong1zi4you3huang2jin1wu1	Books hold within them a golden room/golden key 
读万卷书行万里路	讀萬捲書行萬裡路	Du2wan4juan3shu1 xing2wan4li3lu4	"Read ten thousand books, travel ten thousand miles"
脱逃	脫逃	tuo1tao2	escape; flee
实战	實戰	shi2zhan4	actual combat
出类拔萃	出類拔萃	chu1lei4ba2cui4	rise above the common herd; stand out; be pre-eminent; excel
阶段	階段	jie1duan4	stage; phase
熟	熟	shu2, shou2	ripe; cooked; familiar; skilled
颇	頗	po1	rather; quite; inclined to one side
引人深思	引人深思	yin3ren2shen1si1	Cause one to think deeply about
管理学院	管理學院	guan3li3xue2yuan4	school of management
院长	院長	yuan4zhang3	president (of a university, etc.); department head; dean
猴子	猴子	hou2zi5	monkey
差别	差別	cha1bie2	difference; disparity
从此	從此	cong2ci3	from now on; since then
脱钩	脫鉤	tuo1gou1	sever links; lose contact; cut ties
丛林	叢林	cong2lin2	jungle; forest
步入	步入	bu4ru4	walk into
野兽	野獸	ye3shou4	beast; wild animal
聚焦	聚焦	ju4jiao1	focus on
视野	視野	shi4ye3	field of view; horizon; worldview
从容	從容	cong2rong2	leisurely; calm
应对	應對	ying4dui4	to answer; to reply; response; taking measures to work positively
综观	綜觀	zong1guan1	make a comprehensive survey
总经理	總經理	zong3jing1li3	general manager
曲折	曲折	qu1zhe2	winding; zigzag; complicated
缺点	缺點	que1dian3	weak point; defect; fault; shortcoming
思维	思維	si1wei2	(line) of thought; thinking
行走	行走	xing2zou3	walk; go about
江湖	江湖	jiang1hu2	itinerant entertainer; wanderer; rives and lakes
回头	回頭	hui2tou2	turn one's head around; turn around; repent; (informal) later; by and by
实验	實驗	shi2yan4	experiment; test
领悟	領悟	ling3wu4	comprehend; to grasp; to fathom
为人处世	為人處世	wei2ren2chu3shi4	how one gets along in the world; one's attitude towards life
更为	更為	geng4wei2	even more
圆融	圓融	yuan2rong2	Harmony
幽默	幽默	you1mo4	humor; humorous
思考术	思考術	si1kao3shu4	art of thinking
善于	善於	shan4yu2	be good at; excel at
台科大	台科大	tai2ke1da4	National Taiwan University of Science and Technology
卢希鹏	盧希鵬	lu2xi1peng2	His-Peng Lu
中经合集团	中經合集團	zhong1jing1he2ji2tuan2	WI Harper Group
朱永光	朱永光	zhu1yong3guang1	Y. K. Chu
评量	評量	ping2liang2	evaluation
画上	畫上	hua4shang5	
等号	等號	deng3hao4	equal sign
阅读	閱讀	yue4du2	to read; reading
内化	內化	nei4hua4	internalization
混为一谈	混為一談	hun4wei2yi4tan2	to confuse one thing for another
出息	出息	chu1xi5	future prospects; promise; profit; to mature; grow up
识字	識字	shi2zi4	learn to read; become literate
先天	先天	xian1tian1	innate; a priori; congenital; inborn
辨识	辨識	bian4shi2	differentiate; distinguish
跳行	跳行	tiao4hang2	to skip a line (when reading)
不损	不損	bu4sun3	to not take away from, to do no damage to
伟大	偉大	wei3da4	great; mighty; large
神经	神經	shen2jing1	nerve
不碍	不礙	bu4'ai4	not matter; not affect; it's all right; no harm done
番	番	fan1, pan1	(mw for acts or deeds); foreign; surname Pan
开窍	開竅	kai1qiao4	get it straight; have one's ideas straightened out; start to understand things properly
笨	笨	ben4	stupid; foolish; silly; dumb; clumsy
超越	超越	chao1yue4	surpass; exceed; transcend
本性	本性	ben3xing4	natural instincts; nature; inherent quality
天赋	天賦	tian1fu4	natural talent
得以	得以	de2yi3	be able to (as a result of sth.)
执政	執政	zhi2 zheng4	to come into power; to hold power; to be in office; to be at the helm of the state; to rule
理念	理念	li3nian4	concept; idea; principle
有所	有所	you3suo3	to some extent; somewhat
放诸四海皆准	放諸四海皆準	fang4zhu1si4hai3jie1zhun3	the most common, know across the entire world
学术	學術	xue2shu4	learning; science; academics
知其然	知其然	zhi1qi2ran2	know that sth is so ( the way it is)
知其所以然	知其所以然	zhi1qi2suo3yi3ran2	not know why something is the way it is
国民	國民	guo2min2	national; citizen
区分	區分	qu1fen1	differentiate; find differing aspects; find the difference between
广	广	guang3, yan3	sloping roof; wide; spread (Kangxi radical 53; relates to buildings or places)
见闻	見聞	jian4wen2	information; what one sees and hears
提取	提取	ti2qu3	extract; refine; withdraw from a bank or storage location
预见	預見	yu4jian4	foresee; envision; predict; intuition
防范	防範	fang2fan4	on guard; keep a lookout
未雨绸缪	未雨綢繆	wei4yu3chou2mou2	provide for a rainy day; take precautions; plan ahead
促发	促發	cu4fa1	to prime, to trigger
凡是	凡是	fan2shi4	every; any; all; without exception
性命交关	性命交關	xing4ming4jiao1guan1	a matter of life and death; of vital importance
模仿	模仿	mo2fang3	imitate; to copy
机制	機制	ji1zhi4	mechanism
有样学样	有樣學樣	you3yang4xue2yang4	monkey see monkey do
孟母三迁	孟母三遷	meng4mu3san1qian1	lit. Mencius' mother moved her house three times; a wise mother would try to find the best environment for her children's education
内隐	內隱	nei4yin3	implicit, implied, hidden
暴露	暴露	bao4lu4	expose; reveal; lay bare (TW: pu4~)
造影	造影	zao4ying3	radiography (as M.R.I.)
精进	精進	jing1jin4	eager to make progress; continue deeper ahead
解开	解開	jie3kai1	unbutton; untie; solve
基因	基因	ji1yin1	gene
谜	謎	mi2	riddle; mystery
受虐	受虐	shou4nve4	to suffer sexual abuse
调控	調控	tiao2 kong4	to regulate and control
忧郁	憂鬱	you1yu4	melancholy; dejected; depressed
掉以轻心	掉以輕心	diao4yi3qing1xin1	treat lightly; lower one's guard
起点	起點	qi3dian3	starting point
题目	題目	ti2mu4	subject; title; topic
二度空间	二度空間	er4du4kong1jian1	second degree space 
区域	區域	qu1yu4	area; region; district
促使	促使	cu4shi3	to stimulate; to urge; impel; to cause; to push; to contribute to (some development)
连接	連接	lian2jie1	to join; to link; to connect; to attach; connection; a link (on web page)
动手	動手	dong4shou3	to get to work; to touch; to strike a blow
人生苦短	人生苦短	ren2sheng1ku3duan3	life is bitterly short; life's a bitch; life is but a span
攻无不克	攻無不克	gong1 wu2 bu4ke4	all-conquering; ever-victorious
事无不成	事無不成	shi4wu2bu4cheng2	it will be accomplish no matter what
失读症	失讀症	shi1du2zheng4	dyslexia
李光耀	李光耀	li3guang1yao4	Lee Kuan Yew, first prime minister of Singapore (1923-)
妥瑞氏症	妥瑞氏症	tuo2rui4shi4zheng4	Tourette syndrome 
镜像神经元	鏡像神經元	jing4xiang4shen2jing1yuan2	mirror neuron 
